,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,825058.0,825058.0,0.0,0.0,30.0,176.0,1.0,-1.0,30.0,20.0,825058.0,0.0,732768.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
1,0.0,814041.0,814041.0,0.0,0.0,36.0,234.0,1.0,-1.0,36.0,33.0,814041.0,0.0,534677.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
2,0.0,805170.0,805170.0,0.0,0.0,36.0,483.0,1.0,-1.0,36.0,38.0,805170.0,0.0,766357.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
3,0.0,861651.0,861651.0,0.0,0.0,17.0,633.0,1.0,-1.0,17.0,14.0,861651.0,0.0,667980.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
4,0.0,856595.0,856595.0,0.0,0.0,10.0,714.0,1.0,-1.0,10.0,9.0,856595.0,0.0,744391.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
5,0.0,840447.0,840447.0,0.0,0.0,13.0,749.0,1.0,-1.0,13.0,11.0,840447.0,0.0,698318.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
6,0.0,902402.0,902402.0,0.0,0.0,39.0,859.0,1.0,-1.0,39.0,47.0,902402.0,0.0,775941.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
7,0.0,840855.0,840855.0,0.0,0.0,31.0,990.0,1.0,-1.0,31.0,23.0,840855.0,0.0,766929.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
8,0.0,1014077.0,1014077.0,0.0,0.0,16.0,1143.0,1.0,-1.0,16.0,11.0,1014077.0,0.0,767344.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
9,0.0,833414.0,833414.0,0.0,0.0,36.0,1248.0,1.0,-1.0,36.0,32.0,833414.0,0.0,623760.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
10,0.0,795998.0,795998.0,0.0,0.0,35.0,1267.0,1.0,-1.0,35.0,15.0,795998.0,0.0,690950.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
11,0.0,896444.0,896444.0,0.0,0.0,25.0,1297.0,1.0,-1.0,25.0,30.0,896444.0,0.0,660918.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
12,0.0,791376.0,791376.0,21169.0,10332.0,17.0,1356.0,1.0,-1.0,17.0,16.0,791376.0,0.0,591038.0,21169.0,21169.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
13,0.0,914855.0,914855.0,0.0,0.0,17.0,1414.0,1.0,-1.0,17.0,8.0,914855.0,0.0,758826.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
14,0.0,785653.0,785653.0,0.0,0.0,28.0,1421.0,1.0,-1.0,28.0,19.0,785653.0,0.0,762067.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
15,0.0,879855.0,879855.0,0.0,0.0,31.0,1529.0,1.0,-1.0,31.0,23.0,879855.0,0.0,644679.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
16,0.0,833570.0,833570.0,0.0,0.0,15.0,1597.0,1.0,-1.0,15.0,13.0,833570.0,0.0,767944.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
17,0.0,882238.0,882238.0,0.0,0.0,32.0,1778.0,1.0,-1.0,32.0,31.0,882238.0,0.0,694691.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
18,0.0,881780.0,881780.0,0.0,0.0,16.0,1780.0,1.0,-1.0,16.0,13.0,881780.0,0.0,732285.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
19,0.0,800462.0,800462.0,0.0,0.0,17.0,1838.0,1.0,-1.0,17.0,18.0,800462.0,0.0,361827.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
20,0.0,837923.0,837923.0,0.0,0.0,17.0,1927.0,1.0,-1.0,17.0,18.0,837923.0,0.0,729335.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
21,0.0,986215.0,981841.9,0.0,0.0,16.5,30.0,2.0,-1.0,17.0,16.0,1884968.0,0.0,656603.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
22,0.0,910218.0,904161.55,0.0,0.0,15.5,34.0,2.0,-1.0,16.0,17.0,1699307.0,0.0,759022.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
23,0.0,821923.0,821382.55,42627.0,20806.0,18.5,106.0,2.0,-1.0,24.0,22.0,1633037.0,0.0,587081.0,42200.73,38364.3,-1.0,,,,,,,,,,,,,,,1641906861027.328
24,0.0,1023983.0,1014470.4,0.0,0.0,19.5,166.0,2.0,-1.0,20.0,20.0,1857714.0,0.0,619245.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
25,0.0,916171.0,914170.1,0.0,0.0,18.0,369.0,2.0,-1.0,22.0,14.0,1792324.0,0.0,581869.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
26,0.0,968660.0,963118.85,0.0,0.0,4.5,422.0,2.0,-1.0,5.0,4.0,1826497.0,0.0,629073.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
27,0.0,1073712.0,1062267.9,0.0,0.0,28.0,583.0,2.0,-1.0,32.0,17.0,1918542.0,0.0,671649.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
28,0.0,868563.0,865444.2,0.0,0.0,29.5,666.0,2.0,-1.0,33.0,26.0,1674750.0,0.0,425677.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
29,0.0,956555.0,951402.3,0.0,0.0,14.0,790.0,2.0,-1.0,17.0,17.0,1810056.0,0.0,676383.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
30,0.0,936573.0,934307.8,0.0,0.0,44.5,853.0,2.0,-1.0,45.0,39.0,1827842.0,0.0,307319.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
31,0.0,874152.0,871661.9,0.0,0.0,32.5,866.0,2.0,-1.0,34.0,31.0,1698502.0,0.0,723478.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
32,0.0,907674.0,902052.4,0.0,0.0,32.0,870.0,2.0,-1.0,33.0,33.0,1702916.0,0.0,439897.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
33,0.0,883513.0,881010.95,57807.0,0.0,37.5,909.0,2.0,-1.0,41.0,31.0,1716985.0,0.0,781054.0,38647.15,36857.5,-1.0,,,,,,,,,,,,,,,1641906861027.328
34,0.0,1033425.0,1023138.15,0.0,0.0,6.5,1105.0,2.0,-1.0,7.0,10.0,1861113.0,0.0,601338.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
35,0.0,835254.0,834285.35,0.0,0.0,14.0,1131.0,2.0,-1.0,14.0,17.0,1651135.0,0.0,762142.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
36,0.0,829140.0,826825.7,0.0,0.0,14.5,1293.0,2.0,-1.0,15.0,13.0,1611994.0,0.0,641171.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
37,0.0,1062046.0,1060398.9,0.0,0.0,16.5,1325.0,2.0,-1.0,18.0,13.0,2091150.0,0.0,764140.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
38,0.0,1154445.0,1147392.15,154285.0,14079.0,8.5,1334.0,2.0,-1.0,10.0,6.0,2167833.0,0.0,602020.0,84151.95,82864.5,-1.0,,,,,,,,,,,,,,,1641906861027.328
39,0.0,813306.0,812936.15,23428.0,5733.0,16.0,1370.0,2.0,-1.0,16.0,15.0,1619215.0,0.0,724763.0,15500.720000000001,14805.2,-1.0,,,,,,,,,,,,,,,1641906861027.328
40,0.0,1067548.0,1056356.55,0.0,0.0,14.5,1524.0,2.0,-1.0,15.0,13.0,1911267.0,0.0,710393.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
41,0.0,976376.0,976149.55,237954.0,0.0,31.0,1654.0,2.0,-1.0,31.0,31.0,1948223.0,0.0,607171.0,159086.44,151719.40000000002,-1.0,,,,,,,,,,,,,,,1641906861027.328
42,0.0,812266.0,811337.8,0.0,14509.0,33.5,1690.0,2.0,-1.0,35.0,31.0,1605968.0,0.0,676426.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
43,0.0,941715.0,937401.45,57.0,28.0,14.5,1719.0,2.0,-1.0,15.0,18.0,1797159.0,0.0,681723.0,56.43,51.300000000000004,-1.0,,,,,,,,,,,,,,,1641906861027.328
44,0.0,1034444.0,1025100.25,0.0,0.0,44.0,1852.0,2.0,-1.0,49.0,37.0,1882013.0,0.0,697316.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
45,0.0,1009313.0,1005178.5,0.0,0.0,33.5,1889.0,2.0,-1.0,34.0,36.0,1935936.0,0.0,459070.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
46,0.0,1211366.0,1208772.3,200031.0,14465.0,22.0,162.0,3.0,-1.0,30.0,22.0,3197361.0,0.0,755904.0,79609.8,77421.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
47,0.0,1039425.0,1015959.1,0.0,0.0,37.0,246.0,3.0,-1.0,38.0,41.0,2645411.0,0.0,740583.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
48,0.0,1048853.0,1046504.7,0.0,0.0,15.0,263.0,3.0,-1.0,17.0,17.0,2989641.0,0.0,719408.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
49,0.0,901967.0,899654.0,0.0,0.0,30.0,509.0,3.0,-1.0,32.0,35.0,2596757.0,0.0,711095.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
50,0.0,1184345.0,1183380.7,11681.0,0.0,17.666666666666668,1056.0,3.0,-1.0,22.0,14.0,3431914.0,0.0,652242.0,7769.62,7046.200000000001,-1.0,,,,,,,,,,,,,,,1641906861027.328
51,0.0,897878.0,896864.0,0.0,0.0,29.333333333333332,1135.0,3.0,-1.0,31.0,31.0,2580035.0,0.0,410041.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
52,0.0,1149576.0,1137638.0,0.0,0.0,26.666666666666668,1207.0,3.0,-1.0,31.0,29.0,3054791.0,0.0,665915.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
53,0.0,991185.0,985214.8,0.0,0.0,10.666666666666666,1305.0,3.0,-1.0,12.0,7.0,2727884.0,0.0,778393.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
54,0.0,1299074.0,1273698.8,158811.0,11325.0,27.333333333333332,1397.0,3.0,-1.0,31.0,13.0,3352136.0,0.0,606965.0,90659.1,86439.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
55,0.0,995538.0,983388.1,0.0,0.0,18.666666666666668,1746.0,3.0,-1.0,24.0,15.0,2713274.0,0.0,586026.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
56,0.0,993130.0,991375.75,0.0,0.0,31.0,238.0,4.0,-1.0,32.0,30.0,3730026.0,0.0,564086.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
57,0.0,1349306.0,1347770.6,0.0,0.0,15.75,725.0,4.0,-1.0,25.0,31.0,4799790.0,0.0,682078.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
58,0.0,1019973.0,1014238.0499999999,7386.0,2866.0,24.0,934.0,4.0,-1.0,32.0,21.0,3759209.0,0.0,254616.0,6208.439999999999,4763.4000000000015,-1.0,,,,,,,,,,,,,,,1641906861027.328
59,0.0,1142830.0,1128106.45,16139.0,7138.0,30.0,1031.0,4.0,-1.0,37.0,8.0,3933775.0,0.0,749422.0,14698.849999999997,10890.500000000002,-1.0,,,,,,,,,,,,,,,1641906861027.328
60,0.0,933372.0,927035.1,0.0,0.0,21.0,1243.0,4.0,-1.0,28.0,32.0,3518646.0,0.0,749776.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
61,0.0,1108457.0,1100010.35,0.0,0.0,34.5,1271.0,4.0,-1.0,36.0,31.0,3814802.0,0.0,728074.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
62,0.0,1189831.0,1189075.9,0.0,0.0,39.5,1445.0,4.0,-1.0,47.0,34.0,4205860.0,0.0,596069.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
63,0.0,1236435.0,1217734.0,140717.0,0.0,19.8,216.0,5.0,-1.0,30.0,18.0,5136745.0,0.0,538488.0,92625.72,75199.20000000001,-1.0,,,,,,,,,,,,,,,1641906861027.328
64,0.0,1421341.0,1406809.2,1475737.0,5293.0,34.8,503.0,5.0,-1.0,40.0,29.0,6237950.0,0.0,704955.0,666487.04,624196.4,-1.0,,,,,,,,,,,,,,,1641906861027.328
65,0.0,1083715.0,1075238.4,0.0,0.0,28.6,1451.0,5.0,-1.0,35.0,31.0,4910815.0,0.0,711261.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
66,0.0,977682.0,968842.4,0.0,0.0,22.0,1601.0,5.0,-1.0,32.0,8.0,4471645.0,0.0,760020.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
67,0.0,1253643.0,1225568.0,565952.0,0.0,39.0,1874.0,5.0,-1.0,47.0,43.0,5237792.0,0.0,670415.0,372532.48,302444.80000000005,-1.0,,,,,,,,,,,,,,,1641906861027.328
68,0.0,1445214.0,1411054.25,368005.0,0.0,14.666666666666666,373.0,6.0,-1.0,21.0,19.0,6786307.0,0.0,683901.0,151272.15000000002,128674.5,-1.0,,,,,,,,,,,,,,,1641906861027.328
69,0.0,1397822.0,1387196.25,1097307.0,0.0,21.0,461.0,6.0,-1.0,33.0,9.0,6911495.0,0.0,516010.0,488615.95,487958.5,-1.0,,,,,,,,,,,,,,,1641906861027.328
70,0.0,1241989.0,1214853.25,0.0,0.0,18.166666666666668,967.0,6.0,-1.0,26.0,23.0,6380692.0,0.0,662359.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
71,0.0,1401047.0,1356914.75,521819.0,0.0,31.0,1658.0,6.0,-1.0,35.0,29.0,6489697.0,0.0,722300.0,248268.65000000002,187371.5,-1.0,,,,,,,,,,,,,,,1641906861027.328
72,0.0,1243352.0,1235704.5,688765.0,93089.0,30.166666666666668,1671.0,6.0,-1.0,46.0,46.0,6320108.0,0.0,768132.0,250715.85,237340.5,-1.0,,,,,,,,,,,,,,,1641906861027.328
73,0.0,1430658.0,1410525.5999999999,710345.0,0.0,31.285714285714285,880.0,7.0,-1.0,34.0,35.0,8289849.0,0.0,751182.0,265951.58,258522.80000000002,-1.0,,,,,,,,,,,,,,,1641906861027.328
74,0.0,1491091.0,1488495.4,2227869.0,148979.0,27.714285714285715,1316.0,7.0,-1.0,33.0,14.0,9292772.0,0.0,770142.0,564191.98,552653.8,-1.0,,,,,,,,,,,,,,,1641906861027.328
75,0.0,1009812.0,981250.7999999999,0.0,0.0,31.142857142857142,1589.0,7.0,-1.0,37.0,21.0,6207497.0,0.0,744048.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906861027.328
76,0.0,1433102.0,1396312.8,636998.0,0.0,17.375,768.0,8.0,-1.0,37.0,16.0,9057904.0,0.0,577327.0,260388.01,252036.1,-1.0,,,,,,,,,,,,,,,1641906861027.328
77,0.0,1279457.0,1261598.5999999999,661602.0,0.0,27.75,1085.0,8.0,-1.0,36.0,28.0,8629416.0,0.0,668328.0,408006.0399999999,265230.39999999997,-1.0,,,,,,,,,,,,,,,1641906861027.328
78,0.0,1453195.0,1419512.5999999999,2190178.0,0.0,13.88888888888889,409.0,9.0,-1.0,24.0,16.0,10657392.0,0.0,677280.0,598649.12,569985.2,-1.0,,,,,,,,,,,,,,,1641906861027.328
79,0.0,1348828.0,1309719.2,1897861.0,0.0,25.555555555555557,532.0,9.0,532.0,37.0,18.0,9273667.0,496.0,731814.0,721448.88,687958.8,532.0,,,,,,,,,,,,,,,1641906861027.328
80,0.0,1292055.0,1246639.65,791015.0,0.0,29.5,17.0,10.0,-1.0,38.0,42.0,10416234.0,0.0,747430.0,313245.9,203741.99999999994,-1.0,,,,,,,,,,,,,,,1641906861027.328
