,Position,Length,StartTimestamp
0,111.0,1.0,1641906779027.51
1,183.0,1.0,1641906779027.51
2,329.0,1.0,1641906779027.51
3,608.0,1.0,1641906779027.51
4,1138.0,1.0,1641906779027.51
5,20.0,2.0,1641906779027.51
6,179.0,2.0,1641906779027.51
7,260.0,2.0,1641906779027.51
8,287.0,2.0,1641906779027.51
9,389.0,2.0,1641906779027.51
10,994.0,2.0,1641906779027.51
11,1328.0,2.0,1641906779027.51
12,861.0,3.0,1641906779027.51
13,267.0,4.0,1641906779027.51
14,276.0,5.0,1641906779027.51
15,360.0,5.0,1641906779027.51
16,504.0,6.0,1641906779027.51
17,1280.0,8.0,1641906779027.51
18,610.0,9.0,1641906779027.51
19,876.0,15.0,1641906779027.51
20,85.0,16.0,1641906779027.51
21,1047.0,19.0,1641906779027.51
22,1393.0,54.0,1641906779027.51
23,422.0,78.0,1641906779027.51
