,Position,Length,StartTimestamp
0,3.0,1.0,1641904354028.593
1,69.0,1.0,1641904354028.593
2,383.0,1.0,1641904354028.593
3,473.0,1.0,1641904354028.593
4,590.0,1.0,1641904354028.593
5,677.0,1.0,1641904354028.593
6,917.0,1.0,1641904354028.593
7,1061.0,1.0,1641904354028.593
8,1150.0,1.0,1641904354028.593
9,1648.0,1.0,1641904354028.593
10,195.0,2.0,1641904354028.593
11,252.0,2.0,1641904354028.593
12,686.0,2.0,1641904354028.593
13,930.0,2.0,1641904354028.593
14,1068.0,2.0,1641904354028.593
15,1323.0,2.0,1641904354028.593
16,1429.0,2.0,1641904354028.593
17,1557.0,2.0,1641904354028.593
18,1630.0,2.0,1641904354028.593
19,745.0,3.0,1641904354028.593
20,1346.0,3.0,1641904354028.593
21,1352.0,3.0,1641904354028.593
22,1561.0,3.0,1641904354028.593
23,680.0,5.0,1641904354028.593
24,1482.0,6.0,1641904354028.593
25,618.0,7.0,1641904354028.593
26,944.0,7.0,1641904354028.593
27,1071.0,7.0,1641904354028.593
28,1009.0,8.0,1641904354028.593
29,868.0,9.0,1641904354028.593
30,803.0,10.0,1641904354028.593
31,511.0,11.0,1641904354028.593
