# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.123 941928 32
1 0.244 855574 34
1 0.283 1301788 32
1 0.325 792501 34
1 0.337 792067 38
1 0.407 1045527 37
1 0.419 880825 39
1 0.423 856168 37
1 0.447 869272 45
1 0.476 1062157 31
1 0.492 789532 34
1 0.518 814556 45
1 0.561 801968 20
1 0.653 845613 41
1 0.675 808606 43
1 0.738 1044258 37
1 0.784 805806 36
1 0.826 805083 29
1 0.832 844736 33
1 0.899 814376 35
1 0.939 799482 39
1 0.947 843907 45
1 0.952 791264 35
1 0.969 1009541 34
1 0.987 833841 31
1 1.103 843278 40
1 1.105 955471 42
1 1.113 888519 42
1 1.220 837506 42
1 1.330 840583 36
1 1.405 858493 35
1 1.419 784617 36
1 1.489 956484 35
1 1.505 858447 41
1 1.542 874813 41
1 1.550 819421 43
1 1.826 814429 34
2 0.083 924689 43
2 0.426 822091 41
2 0.459 1175408 36
2 0.508 809130 34
2 0.521 883403 44
2 0.667 1137492 33
2 0.798 889548 33
2 0.810 1151182 41
2 1.115 1134755 41
2 1.368 1237425 33
2 1.438 1112635 41
3 0.512 1373417 40
3 1.054 1486203 42
3 1.840 1193838 35
4 1.598 1085771 40
6 0.552 1376923 34
7 1.475 1214590 35
11 0.886 1302610 50
