# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
3 0.848 2109612 17
2 0.852 1981872 13
1 0.855 2024452 14
3 0.857 2146930 17
3 0.861 2042922 17
4 0.865 2120234 18
1 0.870 1652288 14
2 0.873 2102220 17
1 0.907 1781318 18
1 0.910 1589920 15
1 0.932 1754512 16
1 0.990 1660964 17
1 0.998 1584192 16
1 1.020 1625270 16
1 1.024 1667850 16
1 1.074 1601400 17
2 1.088 1821838 17
2 1.154 1833892 16
3 1.166 1901528 17
1 1.172 1834000 17
1 1.188 1715894 16
1 1.192 1578800 15
1 1.223 1610024 17
1 1.294 1841946 17
1 1.300 1912772 17
1 1.302 1727550 17
1 1.305 1589920 15
2 1.309 2176278 18
1 1.322 1756250 16
1 1.416 1595546 15
1 1.419 1612726 16
1 1.482 1618026 17
1 1.487 1667850 16
2 1.534 1983374 17
1 1.542 1687096 17
1 1.548 1837366 17
2 1.558 1591368 15
1 1.562 2577992 18
1 1.564 1616906 16
2 1.566 2447826 17
2 1.580 1713046 17
1 1.588 1676582 17
2 1.593 1697822 17
1 1.602 1704088 17
1 1.605 1591422 15
2 1.609 1869124 16
1 1.613 1983584 16
1 1.622 2100880 16
1 1.625 1632500 16
1 1.630 1579406 16
1 1.641 1602260 16
3 1.644 2248438 17
1 1.648 1676582 17
2 1.654 2290222 21
1 1.663 1591422 15
2 1.665 2108634 17
1 1.669 2036332 17
1 1.672 1672754 17
1 1.674 2017222 16
4 1.680 2618902 18
1 1.688 1871096 15
1 1.692 1625270 16
1 1.776 1586164 16
1 1.845 1589974 16
1 1.848 1734130 16
1 1.870 1580718 16
2 1.964 1710430 16
1 1.968 1591422 15
1 1.986 1582690 16
1 2.112 2084882 17
1 2.190 1600442 16
1 2.317 1742638 17
1 2.329 1918354 16
1 2.333 1625270 15
1 2.657 1710430 16
1 2.704 1576962 15
1 2.790 1719398 15
1 2.859 1570082 13
2 2.861 2021448 14
1 2.865 1632500 16
1 2.867 1634002 16
3 2.869 1591422 15
4 2.887 1791156 17
1 2.900 1670466 15
1 2.942 1584354 16
1 2.945 1745300 16
1 2.997 1667850 16
1 3.001 1894350 17
2 3.005 1889472 16
2 3.012 1801480 17
1 3.020 1651650 17
1 3.042 1795590 16
1 3.053 1625270 16
1 3.059 1711674 17
2 3.117 1797092 16
1 3.386 1795590 16
1 3.473 1563770 17
1 3.520 1572294 15
1 3.632 2039900 18
3 3.636 1812140 17
2 3.699 1676582 17
7 3.702 2283190 18
2 3.710 2067086 16
1 3.713 1704518 18
1 3.715 1614946 16
2 3.720 2231366 18
1 3.724 1799880 15
1 3.749 1625270 16
2 3.753 1745582 17
3 3.757 2192030 17
2 3.764 2084780 19
3 3.769 2017384 17
1 3.801 1580556 15
1 3.808 1588418 15
2 3.816 1834616 16
1 3.826 1605836 16
1 3.834 2189514 17
1 3.997 1577044 15
1 4.006 1957554 18
1 4.015 2155800 18
1 4.018 1737186 17
1 4.059 1599612 16
1 4.065 1795590 16
1 4.068 1632500 16
1 4.073 2403138 16
1 4.080 1578882 14
1 4.082 1676058 17
2 4.085 1899878 14
1 4.088 1592978 16
1 4.094 1870572 17
2 4.099 1674918 17
2 4.102 2123340 17
7 4.112 2438814 17
9 4.120 2786334 20
1 4.136 1870816 17
1 4.171 1582690 16
1 4.206 1582464 16
2 4.208 2213790 18
1 4.258 1625216 16
1 4.350 1649124 16
1 4.373 2326262 18
2 4.376 1723826 16
1 4.382 1598528 13
2 4.384 1731464 17
1 4.448 1577904 15
1 4.451 1597764 16
1 4.454 1581532 17
2 4.456 1962074 18
1 4.475 1710268 16
1 4.491 1582278 16
1 4.499 1626772 16
1 4.543 1567492 16
1 4.611 1582690 15
