# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.082 1563906 4
2 0.530 1631284 4
5 0.573 1948206 4
3 0.631 2153792 5
22 0.637 2604912 6
39 0.660 3122658 7
2 0.702 1576246 5
1 0.709 1565408 4
23 0.713 2592452 5
2 0.739 1627814 4
3 0.747 1660970 5
1 0.751 1662414 4
3 0.801 2051732 5
16 1.080 2992220 64
3 1.470 2037036 5
4 1.476 2073778 6
2 1.489 1925618 4
3 1.493 1641332 4
2 1.498 1626312 5
1 1.508 1566910 4
2 1.518 1662472 4
16 1.522 2604338 6
4 1.540 2074262 5
58 1.547 2593954 9
3 1.606 2066752 4
3 1.611 2048728 4
2 1.615 1639830 4
1 1.620 1566856 4
6 1.622 2256448 5
47 1.632 2593954 6
15 1.705 2209200 6
3 1.722 1660970 4
1 1.728 1931028 4
1 1.778 1565466 5
1 1.781 1631616 4
3 1.785 2053234 4
4 1.792 2784820 6
1 1.854 1584256 4
12 2.097 2785636 60
3 2.288 2163324 5
22 2.352 2580436 6
1 2.379 1588762 4
4 2.381 2307184 6
2 2.515 1663974 4
2 2.518 1662472 4
1 2.522 1568412 4
2 2.524 1662414 5
3 2.528 2057740 4
1 2.532 1662472 4
1 2.571 1641798 4
7 2.576 2097236 5
9 2.584 2331216 6
1 2.595 1663974 4
3 2.600 2075784 5
2 2.609 1655240 5
2 2.631 1901864 4
2 2.636 2066494 5
38 2.666 2691554 7
1 2.713 1665160 5
7 2.717 2356248 6
2 2.725 1641798 4
1 2.731 1565408 4
3 2.733 2053234 4
1 2.737 1640296 4
1 2.761 1594940 4
3 2.764 2062246 5
4 2.770 1663974 4
1 2.778 1566910 4
1 2.783 1661294 5
21 2.797 3123806 9
1 2.878 1634212 4
2 2.917 1787712 4
1 2.986 1662472 4
1 2.988 1565408 4
22 3.109 3122658 65
1 3.167 1660970 4
4 3.169 2071258 5
1 3.174 1660970 4
15 3.177 2359808 6
6 3.193 2184132 6
4 3.203 2071258 5
1 3.212 1566910 4
44 3.214 3123316 10
1 3.260 1658290 5
1 3.263 1650456 4
3 3.265 2044222 4
1 3.269 1650398 4
3 3.272 2063748 4
1 3.276 1662796 5
1 3.285 1654962 4
2 3.308 1566910 4
1 3.316 1566852 4
5 3.322 3007116 6
5 3.328 2135976 6
1 3.337 1662414 4
1 3.343 1662472 4
1 3.345 1565408 4
1 3.353 1566910 4
1 3.360 1577694 5
1 3.362 1566856 4
22 3.365 2592452 6
1 3.419 1662472 4
5 3.421 2180662 5
1 3.427 1662472 4
8 3.430 2374774 5
1 3.455 1565150 5
2 3.498 1743662 6
3 3.594 1647340 4
2 3.598 1631284 4
1 3.606 1566910 4
1 3.623 1660970 4
25 3.651 2481416 5
1 3.702 1662418 4
1 3.709 1662472 4
5 3.717 1687758 4
2 3.759 1913660 4
3 4.020 2080594 5
2 4.051 1647340 4
5 4.054 2476852 6
17 4.125 3076208 64
4 4.148 1999162 5
22 4.153 2669224 7
5 4.185 2747490 6
1 4.192 1651958 4
3 4.231 2068254 4
1 4.235 1659468 4
22 4.259 3092884 7
2 4.347 1667190 5
2 4.370 2027098 5
3 4.470 2179160 5
4 4.627 2071258 5
1 4.643 1579046 4
1 4.648 1566910 4
4 4.652 2059242 7
4 4.664 2072760 4
1 4.681 1566910 4
6 4.686 2572926 5
1 4.693 1566910 4
1 4.714 1663974 4
223 4.720 3122982 9
3 4.944 1671808 5
1 4.949 1662472 4
1 4.952 1566910 4
4 4.960 2059296 5
3 4.969 2065250 4
1 4.982 1768872 5
1 4.986 1566910 4
1 4.993 1566910 4
1 5.008 1566852 4
1 5.011 1566910 4
1 5.017 1566910 4
3 5.019 2053234 4
17 5.039 2581938 6
1 5.059 1828946 4
18 5.142 2976964 62
3 5.175 1873180 5
1 5.217 1566910 4
8 5.220 2422124 5
7 5.229 2460388 5
12 5.245 2589448 7
1 5.261 1566910 4
21 5.305 2700354 6
2 5.358 2410822 5
1 5.368 1663716 5
