# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
6 0.578 2072760 5
6 0.598 2897690 7
3 0.607 1624810 5
15 0.662 2182164 6
4 0.716 2074262 4
13 0.722 3041874 7
1 0.740 1580186 5
28 0.742 3122990 7
1 0.772 1566910 4
4 0.774 2180662 5
1 0.795 1660970 4
4 0.802 2147506 6
5 0.811 1662472 4
2 0.817 1624810 4
3 0.820 2071258 6
6 0.840 2074528 7
1 0.847 1569656 5
1 0.851 1566910 4
3 0.862 2049006 5
3 0.866 2155482 6
167 0.872 3123806 11
1 1.041 1623308 4
3 1.045 2051732 4
34 1.052 2603356 8
1 1.096 1654904 4
2 1.100 1834730 4
1 1.168 1992308 5
1 1.173 1616122 5
1 1.180 1660970 4
1 1.188 1565408 4
1 1.193 1565408 4
1 1.222 1568412 4
3 1.232 1662472 4
1 1.237 1566856 4
2 1.249 1886490 5
44 1.280 2706114 7
1 1.325 1661028 5
2 1.328 1674812 5
1 1.333 1568412 4
1 1.337 1566910 4
2 1.340 1566910 4
27 1.344 2592452 7
15 1.372 2592452 6
4 1.388 1680350 6
5 1.410 2074262 5
70 1.417 3122658 9
9 1.496 2603290 6
219 1.511 3123558 13
9 1.732 2346568 5
1 1.749 1645950 4
2 1.759 1662796 5
143 1.762 3123206 10
1 1.932 1642946 4
3 1.942 2054478 5
69 1.963 3123640 12
2 2.033 1653148 5
3 2.043 2535118 6
1 2.047 1650456 4
4 2.064 2159522 6
1 2.069 1657708 5
1 2.071 1570238 5
11 2.073 2237438 6
4 2.086 2065250 5
9 2.095 2194276 6
1 2.106 1659468 4
25 2.113 2590950 8
41 2.141 3122658 9
493 2.187 3123902 15
39 2.681 3121480 8
2 2.722 1643300 4
1 2.727 1565408 4
4 2.733 1673364 6
2 2.751 1662472 4
3 2.754 2555270 6
4 2.760 2174654 6
1 2.782 1711222 4
1 2.800 1649790 6
1 2.802 1660970 4
26 2.804 2598572 6
2 2.842 2042720 5
22 2.845 3122658 8
5 2.873 2072502 6
25 2.879 3076420 7
1 2.905 1663920 4
299 2.912 3123022 14
5 3.222 2046048 5
2 3.232 1632432 4
28 3.237 3093878 7
1 3.275 1653460 4
23 3.287 3122304 7
3 3.311 2017186 4
1 3.336 1641444 4
1 3.340 1566910 4
1 3.359 1662472 4
1 3.362 1568412 4
