# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.042 1577694 5
1 0.082 1563906 4
1 0.094 1661024 5
4 0.118 2586052 8
2 0.124 1776720 5
4 0.129 2142796 6
3 0.136 2056238 4
3 0.140 2193002 6
1 0.150 1627814 4
25 0.152 2603236 7
1 0.180 2052448 5
1 0.182 1712424 5
1 0.188 1568412 4
6 0.192 2468276 7
10 0.199 2074262 6
3 0.210 1663974 4
6 0.215 2077008 5
4 0.236 2501162 7
1 0.242 1565408 4
12 0.244 2160266 7
3 0.259 1662472 4
51 0.263 3119654 8
1 0.317 1565408 4
24 0.321 2580436 6
2 0.360 1817532 4
1 0.367 1662472 4
2 0.372 1730174 5
8 0.377 2334440 6
1 0.398 1653460 4
2 0.404 2060744 4
1 0.410 1566910 4
2 0.419 1662472 4
3 0.423 2095884 6
5 0.431 2193060 7
5 0.445 2065250 4
2 0.452 1566910 4
1 0.455 1566910 4
1 0.464 1830100 6
1 0.473 1641444 4
1 0.481 1662472 4
6 0.483 2075506 7
4 0.490 2269092 7
6 0.495 2075764 6
1 0.526 1664298 5
14 0.529 2590950 6
1 0.545 1663974 4
2 0.557 2046160 6
1 0.560 1662472 4
2 0.565 1651858 6
1 0.570 1673310 5
6 0.572 2494934 5
2 0.610 1964470 5
253 0.631 3123156 14
1 0.885 1625978 7
1 0.900 1651958 4
20 0.902 2176156 6
16 1.014 2261362 6
2 1.032 1662418 5
3 1.053 2430236 6
3 1.058 1966554 5
1 1.088 1566910 4
1 1.091 1662418 4
1 1.093 1662472 4
1 1.099 1731676 5
3 1.174 2051732 5
2 1.200 2150954 5
5 1.204 2581938 8
1 1.230 1596662 4
16 1.238 2674762 8
4 1.255 2074262 5
23 1.275 2703682 7
8 1.299 2580436 7
1 1.319 1662472 4
20 1.321 2798112 8
43 1.343 3123452 9
6 1.388 2577432 6
25 1.459 3122658 8
1 1.485 1568154 5
26 1.487 3122982 10
28 1.516 3123392 7
62 1.547 3122658 10
3 1.611 2062246 4
2 1.615 1639830 4
1 1.620 1566910 4
9 1.622 2362848 6
50 1.632 2704360 8
1 1.694 1628280 4
16 1.704 2251310 7
3 1.722 1662472 4
3 1.726 2104090 5
2 1.736 1772472 4
2 1.761 1903690 6
1 1.778 1566968 5
22 1.781 3085332 8
2 1.821 1735924 7
1 1.825 1662472 4
7 1.828 2692790 8
1 1.843 1663974 4
3 1.845 2071536 4
1 1.849 1662472 4
12 1.851 3121480 8
10 1.867 2260622 6
1 1.878 1714794 4
1 1.880 1640628 4
3 1.882 2049842 6
1 1.891 1660970 4
3 1.896 1944356 5
1 1.904 1568100 5
1 1.906 1681440 6
1 1.909 1660970 4
1 1.916 1566910 4
1 1.928 1638328 4
34 1.943 3122658 7
4 1.980 2072760 4
2 2.000 1952712 4
1 2.014 1656206 5
1 2.017 1656464 4
2 2.021 1973740 4
2 2.027 1655316 4
1 2.032 1566910 4
1 2.034 1662214 5
4 2.036 2060744 5
2 2.044 1662414 5
1 2.060 1653460 4
4 2.069 2069756 4
3 2.075 2048680 7
5 2.079 2141110 7
11 2.086 2580436 6
2 2.098 1829548 4
3 2.103 1662472 4
1 2.108 1768872 5
5 2.110 2069756 5
5 2.116 2575188 7
6 2.123 1663974 5
1 2.130 1663920 4
1 2.135 1565408 4
1 2.154 1638794 4
2 2.156 1662472 4
50 2.161 3122694 8
47 2.212 3122982 9
6 2.264 2070080 5
3 2.272 2053234 5
1 2.278 1566910 4
11 2.285 2681514 6
2 2.297 1746938 4
3 2.312 2093434 5
3 2.316 2159634 5
5 2.321 2445256 6
1 2.328 1566910 4
510 2.330 3122924 17
3 2.852 2042774 6
3 2.858 2050230 5
3 2.864 2030704 4
3 2.872 2033708 5
5 2.876 2616574 6
3 2.883 2170148 5
1 2.891 1565196 4
2 2.917 1730636 5
1 2.934 1657482 6
8 2.936 2586444 6
1 2.945 1767370 5
3 2.949 2082096 5
9 2.982 2182164 5
6 2.996 2066752 5
2 3.036 1912378 4
1 3.055 1627926 4
2 3.057 1647340 5
680 3.061 3123204 17
1 3.744 1584256 4
5 3.747 2469288 5
5 3.757 2531148 7
1 3.764 1624922 4
22 3.766 2670638 8
7 3.791 2161136 6
3 3.799 2152124 5
3 3.804 2060744 4
1 3.835 1621048 4
19 3.860 3107962 8
1 3.925 1662472 4
9 3.928 2180662 5
1 3.939 1662472 4
3 3.962 2065250 4
2 3.966 2108920 5
10 3.973 2151866 6
5 3.984 2216106 6
1 4.001 1566910 4
3 4.011 2076088 5
475 4.016 3123676 15
11 4.494 2155482 5
6 4.507 2074262 5
6 4.514 2182164 5
1 4.577 1568412 4
1 4.580 1662472 4
1 4.583 1568412 4
2 4.586 1639830 4
1 4.589 1566910 4
3 4.591 2089152 5
1 4.600 1659468 4
22 4.612 3113646 8
25 4.637 3098368 8
4 4.664 2592452 5
21 4.678 3088112 8
1 4.714 1662472 4
2 4.716 1629316 4
371 4.720 3122982 19
366 5.092 3122990 19
2 5.460 1591796 4
6 5.498 2071258 5
23 5.508 3052388 8
1 5.559 1829306 5
1 5.575 1753278 4
4 5.589 1663716 6
