# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.728 1778562 108
2 0.730 2142638 108
2 0.734 2409432 124
2 0.740 2557308 121
4 0.743 2963750 115
1 0.748 2526476 108
2 0.750 2494700 102
1 0.753 3105032 104
1 0.756 2489202 108
1 0.758 3123094 106
2 0.760 2374674 106
2 0.765 2623442 120
2 0.768 2422736 108
1 0.771 2861786 106
1 0.774 3024302 101
2 0.778 3123202 120
1 0.782 2139992 99
1 0.784 3098358 108
2 0.787 2243844 119
2 0.790 2564578 122
2 0.796 2149818 104
2 0.801 2475842 115
1 0.806 3110764 104
1 0.809 2510792 104
2 0.811 2716488 110
1 0.814 2970976 103
1 0.819 2738534 118
2 0.822 2319328 107
2 0.828 2174272 104
1 0.832 2627478 118
1 0.836 2525076 100
1 0.838 2927232 108
2 0.841 3122770 120
2 0.844 2308214 115
2 0.848 2632730 118
2 0.853 2557146 111
1 0.858 2599972 125
1 0.862 3007342 113
1 0.865 2594250 107
2 0.868 1964370 103
1 0.872 2229448 112
1 0.874 2887610 104
1 0.877 2351110 111
1 0.880 3074624 105
2 0.884 2251646 100
1 0.887 2708124 101
2 0.890 2969196 108
2 0.893 2782376 114
2 0.898 2859202 120
2 0.902 2446298 120
1 0.905 2673764 115
2 0.911 2359724 111
2 0.914 2683966 109
1 0.917 2236488 100
2 0.920 2687282 117
2 0.924 2962724 104
3 0.927 2680896 119
2 0.931 2882246 125
2 0.949 2870680 107
2 1.049 2899910 109
2 1.063 2650384 102
3 1.066 2674970 111
14 1.070 2980780 111
6 1.085 2983820 124
2 1.092 2562340 103
5 1.095 2672170 113
4 1.101 3122644 120
2 1.106 2155356 105
2 1.110 2304170 105
1 1.113 2479158 107
2 1.115 2123036 107
2 1.118 2902114 121
2 1.122 2798236 124
1 1.126 2433522 109
2 1.129 2336008 119
2 1.132 2382280 124
1 1.135 2310740 107
2 1.138 2267698 100
2 1.141 2508278 125
1 1.146 2430624 120
2 1.148 2894064 118
1 1.152 2468174 104
2 1.155 2486524 124
1 1.160 2264566 103
2 1.162 2217450 108
2 1.165 2045192 109
2 1.168 3121360 117
2 1.171 2890276 105
2 1.174 2359876 101
2 1.177 2896004 101
2 1.180 2806932 117
3 1.184 2651326 127
2 1.191 2581662 112
2 1.204 2947018 107
2 1.236 2629644 106
3 1.287 2750172 123
5 1.303 2757120 126
5 1.309 2827182 115
2 1.316 2655168 109
2 1.319 2953046 109
3 1.322 2743040 128
2 1.326 3010204 114
5 1.329 2916332 119
2 1.335 2630850 114
2 1.338 2562074 101
3 1.342 2669156 127
2 1.346 2756548 115
3 1.352 2599658 109
2 1.364 2807108 120
2 1.376 2818840 115
2 1.380 2538166 110
2 1.383 2581396 115
2 1.387 2641650 103
2 1.390 3121646 120
2 1.393 2699982 104
2 1.396 2828326 109
2 1.399 2858070 107
2 1.402 3065070 124
2 1.405 2921954 107
2 1.410 2734896 116
2 1.414 2795508 125
2 1.419 2649926 108
3 1.426 2649436 128
2 1.430 2629930 103
2 1.434 2723228 118
2 1.437 2738526 121
3 1.441 3017250 118
2 1.448 2777238 110
2 1.451 2906642 105
2 1.454 3107462 108
2 1.457 3123036 125
3 1.460 2622308 120
5 1.464 2881854 113
2 1.471 2793076 105
2 1.474 2892692 104
2 1.477 2689244 101
2 1.480 3109620 109
2 1.485 2801432 109
2 1.488 3117968 121
3 1.493 3110720 120
3 1.499 2983166 114
3 1.504 2835878 113
3 1.509 3123352 116
3 1.513 3100506 115
3 1.517 2863830 109
3 1.524 3068918 104
3 1.529 2988284 113
3 1.533 3114238 123
4 1.538 3046580 128
3 1.543 2946412 129
3 1.547 2884034 111
3 1.559 3024986 119
3 1.575 3058550 122
3 1.579 2802640 104
3 1.587 2932782 103
3 1.591 3123464 121
2 1.596 2475264 109
1 1.601 2518026 122
2 1.606 3122596 122
1 1.609 2324186 106
1 1.611 3121350 107
4 1.614 2907852 116
2 1.619 2057002 101
2 1.622 2681504 114
2 1.625 2232850 109
1 1.629 2205610 109
2 1.631 2719762 108
1 1.635 2994514 114
1 1.638 3015474 101
2 1.642 2074302 101
1 1.648 2286064 107
2 1.652 1928976 101
1 1.656 2970250 106
1 1.660 2145714 103
1 1.664 2461972 118
1 1.666 3121912 113
1 1.670 2330000 103
2 1.672 2306448 113
1 1.676 2328774 105
1 1.679 2630298 113
1 1.682 3063528 114
2 1.685 1946924 100
2 1.688 2605372 107
1 1.691 2269348 102
2 1.695 2950324 122
2 1.698 2097016 106
2 1.702 3083534 126
2 1.705 2382232 106
1 1.709 2419078 100
2 1.712 3122668 121
4 1.721 3123414 126
2 1.726 1944466 101
2 1.729 2699328 119
1 1.732 2922902 107
2 1.735 1959988 102
1 1.738 3122770 113
2 1.740 2452218 122
1 1.746 2225514 111
2 1.750 2894334 123
2 1.755 2724608 116
2 1.758 2353358 108
2 1.761 2185434 103
2 1.765 2212636 119
2 1.768 2450596 111
2 1.771 2115878 106
1 1.775 2777508 103
2 1.778 2462720 106
1 1.781 2865942 103
2 1.784 2466948 116
2 1.788 2253710 107
2 1.791 2551608 118
1 1.794 2400584 107
2 1.797 2498960 126
2 1.801 2395130 120
2 1.807 2407072 122
1 1.811 2357506 104
1 1.814 2585422 106
2 1.816 2143620 105
1 1.820 2538298 106
2 1.824 2097554 107
2 1.830 2242904 112
2 1.836 2161148 100
2 1.839 2849706 124
1 1.850 2319660 108
2 1.853 2898100 111
2 1.859 2671516 121
2 1.863 3041468 109
3 1.867 2982910 122
3 1.873 2929318 122
6 1.879 3070990 124
21 1.887 3122658 125
11 1.910 3123526 120
5 1.922 3121554 103
35 1.928 3123792 130
3 1.964 3079504 128
3 1.969 3123506 124
3 1.973 2756752 119
2 1.978 3115822 110
2 1.981 3121782 107
2 1.985 2900164 105
2 1.989 2719764 101
2 1.993 2826820 108
1 2.000 2535764 122
1 2.003 2420866 101
1 2.006 3099584 107
2 2.010 2258178 108
2 2.013 2236788 110
2 2.017 2613582 127
1 2.022 2611334 118
2 2.025 2698818 124
2 2.028 2151456 101
4 2.032 2556740 117
2 2.038 2556506 123
2 2.041 2918766 120
2 2.044 2840008 113
6 2.047 2689322 127
1 2.057 2394862 106
1 2.060 3116374 106
2 2.064 3041724 112
4 2.067 2943292 113
3 2.072 2635182 123
5 2.076 2817292 120
5 2.083 3123128 125
5 2.089 3074888 119
2 2.095 2661830 117
7 2.098 2813540 110
2 2.107 2966014 125
2 2.113 3028134 124
2 2.118 2895582 121
3 2.123 2654994 117
3 2.127 2662596 122
2 2.132 2537930 108
3 2.136 3123036 117
3 2.162 3122658 128
57 2.184 2626628 6
1 2.245 1588746 4
16 2.257 3123948 123
4 2.274 3019520 125
2 2.280 3118060 109
3 2.283 3081552 119
2 2.287 2965888 102
2 2.293 2544766 118
2 2.296 2813532 123
2 2.300 2783614 116
6 2.304 2815974 129
2 2.311 3114402 118
2 2.314 3060296 115
2 2.320 3044248 104
3 2.325 2882366 129
2 2.339 2606256 105
2 2.342 2688312 109
2 2.345 2439110 101
2 2.350 3123206 120
3 2.353 2808430 125
2 2.359 2693094 121
2 2.363 2880254 124
2 2.367 3046760 109
3 2.371 2897102 125
2 2.376 2717506 110
3 2.382 2732158 120
2 2.386 3122014 107
2 2.389 2709248 109
3 2.392 2500942 107
2 2.397 2474088 109
2 2.401 3121912 107
2 2.404 2605050 113
2 2.409 3121442 112
2 2.412 3035888 125
2 2.415 2971844 117
2 2.418 3064120 125
2 2.421 2826406 112
2 2.424 2598808 103
2 2.427 3122096 108
2 2.430 2718548 111
2 2.435 3123322 110
2 2.439 2966976 108
3 2.443 2751306 125
2 2.448 3090540 118
4 2.452 2984600 111
2 2.457 2908872 119
6 2.462 2883196 126
2 2.469 2563392 104
2 2.474 2678822 113
2 2.477 2398356 106
2 2.481 2514072 105
2 2.484 3123506 127
2 2.487 3070582 109
1 2.490 2296946 103
1 2.494 3116900 100
1 2.497 2699022 100
2 2.500 2512406 105
5 2.504 2894078 114
3 2.512 2666724 122
2 2.516 2611998 112
2 2.520 2664696 108
2 2.523 3122620 124
2 2.526 2880060 110
3 2.529 2664904 126
5 2.533 3122760 127
2 2.539 2945424 114
2 2.542 2799278 110
2 2.545 2998656 124
3 2.548 2570494 108
2 2.553 2635164 107
2 2.558 3123230 105
2 2.561 2918188 119
2 2.565 3080118 101
3 2.568 2838074 120
6 2.572 2806686 114
3 2.580 2879824 102
3 2.584 2789050 102
3 2.588 2930432 104
3 2.592 3102154 120
3 2.597 2844696 104
3 2.605 2727410 114
2 2.613 2556190 103
2 2.618 2644708 112
2 2.622 2688782 109
2 2.626 2840916 117
2 2.632 3123052 117
2 2.643 2752532 103
2 2.650 2525476 101
3 2.653 2550692 108
2 2.658 3123128 117
2 2.661 2860848 129
2 2.666 2923494 106
2 2.672 3122474 108
2 2.682 2630436 106
2 2.696 3018936 103
2 2.699 2518424 108
3 2.723 2416258 103
2 2.755 2679854 105
2 2.778 2615322 100
2 2.782 2665930 108
2 2.787 3012976 122
2 2.790 2234546 105
1 2.793 2345286 120
2 2.798 2079732 103
4 2.803 3059084 116
2 2.810 2319382 101
1 2.813 3123056 108
2 2.816 2104822 103
3 2.821 2934066 116
2 2.826 2439066 127
2 2.832 2704774 105
1 2.835 2416738 108
1 2.840 2456444 107
1 2.842 3120992 108
1 2.845 2288598 100
4 2.848 2665590 122
2 2.853 2206798 108
7 2.857 2684692 124
2 2.865 3123376 109
2 2.868 2581248 121
1 2.873 2239842 107
1 2.877 2430116 108
2 2.880 2446188 127
1 2.895 3121798 115
4 2.906 2345668 119
2 2.914 2480614 121
2 2.917 2456296 107
1 2.920 2969650 106
1 2.926 3084178 118
2 2.931 2764530 113
1 2.934 2255268 100
1 2.938 3121544 113
