# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.732 1825694 108
2 0.737 2221202 108
2 0.742 2375898 124
1 0.766 2419262 121
1 0.771 2313294 103
2 0.773 2877942 115
2 0.777 2446398 108
1 0.783 2465170 101
1 0.789 3078660 104
2 0.793 2496526 108
1 0.797 2424432 105
1 0.801 2360622 107
2 0.827 2395600 120
2 0.832 2301736 108
2 0.842 2099558 105
2 0.849 2002298 101
1 0.872 2304170 120
1 0.885 2428274 100
1 0.890 2946658 107
2 0.901 2594536 118
2 0.904 2625598 122
2 0.945 2935102 104
2 1.019 3120972 113
2 1.082 2912926 106
2 1.095 2567888 106
3 1.101 2625230 112
2 1.108 2097118 103
2 1.131 2648884 119
2 1.139 2345332 107
2 1.178 2644068 105
2 1.191 3000812 118
2 1.225 2576202 101
3 1.295 2753424 109
2 1.306 2937730 121
3 1.316 2622982 116
2 1.332 2839914 119
2 1.358 2517372 112
3 1.383 2640158 127
2 1.398 3122566 113
2 1.402 2694138 109
2 1.415 2596930 103
3 1.425 2584778 116
2 1.430 2565518 104
2 1.433 2651418 115
3 1.441 2611942 107
2 1.465 2825032 102
2 1.471 2536806 102
2 1.477 3017628 109
2 1.485 2692902 114
3 1.513 2974154 121
3 1.526 3122658 122
3 1.530 3018406 117
3 1.571 3122712 113
3 1.578 2933388 111
3 1.583 2803774 102
1 1.603 2201482 115
2 1.612 2056738 103
1 1.624 2296098 118
2 1.633 2579434 124
2 1.665 2637606 106
2 1.675 2201216 109
2 1.688 2523038 100
1 1.699 2792892 108
2 1.713 2183482 105
1 1.720 2875502 108
1 1.725 2318532 100
2 1.728 2250290 101
1 1.731 2871712 102
2 1.749 2543856 122
1 1.753 2851756 108
1 1.772 2306530 100
2 1.781 2493892 110
1 1.786 2632270 111
2 1.789 2633462 104
1 1.792 2400022 113
2 1.796 1998262 104
2 1.811 2627886 105
2 1.817 2188092 107
2 1.822 2135966 107
2 1.827 2522014 122
2 1.841 3105496 124
3 1.860 2620240 109
3 1.878 3000158 121
8 1.887 3122964 125
4 1.901 3123414 103
6 1.913 3123102 129
5 1.935 3123128 125
5 1.942 3123128 121
1 1.950 1588746 4
5 1.959 3122658 108
3 1.971 3024454 127
3 1.992 2603916 105
2 2.002 2324736 108
1 2.012 2456638 108
1 2.016 2377022 117
2 2.024 2496558 105
1 2.039 3092182 100
1 2.045 3013154 100
1 2.053 3123700 116
2 2.071 2856118 129
2 2.079 2677974 114
2 2.082 2540106 109
2 2.094 2595180 107
3 2.139 3122082 126
5 2.166 3123976 109
57 2.184 2629632 7
1 2.245 1590248 4
5 2.261 3123332 129
6 2.277 3023014 114
2 2.296 2626814 108
3 2.303 2615094 109
2 2.313 3123128 128
2 2.320 3110304 114
2 2.325 2723512 105
2 2.333 3122436 118
2 2.338 2715994 114
2 2.348 2714916 101
2 2.367 3099552 127
2 2.372 2644664 114
2 2.381 2529480 110
2 2.388 2668440 120
2 2.394 2685862 115
2 2.410 2771964 111
2 2.420 2571710 114
2 2.424 2486004 104
3 2.430 2817084 119
3 2.438 2703916 104
2 2.445 2880854 109
2 2.455 2746490 107
2 2.461 3116050 125
2 2.464 2844890 107
2 2.490 2306712 115
2 2.498 2651374 126
2 2.509 2801940 108
3 2.562 2660900 128
3 2.570 2743510 104
3 2.577 2923256 121
3 2.585 3122766 123
2 2.606 2854568 116
2 2.629 2718344 110
2 2.635 2503680 105
2 2.651 2483562 108
3 2.656 2817554 125
3 2.667 2670150 119
1 2.677 2482162 107
2 2.681 3047568 106
2 2.708 3122576 104
2 2.741 2616892 104
3 2.772 2489984 101
2 2.778 2917032 108
1 2.812 2252172 106
1 2.816 2671884 119
2 2.842 2345970 117
1 2.872 2341116 113
2 2.892 2415110 111
2 2.913 2328726 115
2 2.920 2333024 113
1 2.940 2867698 106
1 2.983 2350640 102
