# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
24 0.781 2661544 108
23 0.831 3106136 107
27 0.874 2904054 124
25 1.109 3052064 121
22 1.164 2979468 102
25 1.190 3007004 115
23 1.231 2666050 108
23 1.288 3121156 102
23 1.344 2645022 104
24 1.386 2712612 108
23 1.422 2933406 105
25 1.456 3122658 107
26 1.726 3122658 121
23 1.779 2608934 108
23 1.877 2574428 105
23 1.945 2624942 101
25 2.166 2913880 120
22 2.299 2637512 100
24 2.351 2864138 109
25 2.458 2823760 119
26 2.492 3115148 122
23 2.906 3117166 104
